epoch,accuracy,loss,val_accuracy,val_loss
0,0.31273409724235535,1.2690839767456055,0.5350877046585083,0.9209331274032593
1,0.5318351984024048,1.052419662475586,0.5,0.8017199635505676
2,0.601123571395874,0.9105942249298096,0.5964912176132202,0.6938557028770447
3,0.6198501586914062,0.8327882289886475,0.6578947305679321,0.6469953656196594
4,0.6573033928871155,0.8269432187080383,0.640350878238678,0.6089918613433838
5,0.6722846627235413,0.7660313844680786,0.6754385828971863,0.5767562985420227
6,0.7078651785850525,0.7004231214523315,0.6578947305679321,0.5865122675895691
7,0.704119861125946,0.6665869355201721,0.7280701994895935,0.4965416491031647
8,0.7340824007987976,0.6026703119277954,0.7543859481811523,0.4821805953979492
9,0.7340824007987976,0.5862178802490234,0.7543859481811523,0.43174639344215393
10,0.7659175992012024,0.5361000895500183,0.7982456088066101,0.3649752140045166
11,0.7546816468238831,0.5558353066444397,0.7368420958518982,0.4592266082763672
12,0.779026210308075,0.5407251715660095,0.8245614171028137,0.3746538758277893
13,0.7940074801445007,0.4872826337814331,0.8333333134651184,0.3343183994293213
14,0.7996254563331604,0.4716872572898865,0.8508771657943726,0.322068989276886
15,0.8426966071128845,0.43258824944496155,0.8947368264198303,0.2731865346431732
16,0.8408239483833313,0.4005490243434906,0.8771929740905762,0.30625274777412415
17,0.8314606547355652,0.4345625042915344,0.780701756477356,0.3842012882232666
18,0.8595505356788635,0.3784545361995697,0.859649121761322,0.2921525835990906
19,0.8426966071128845,0.43085891008377075,0.8421052694320679,0.31936922669410706
20,0.846441924571991,0.35633528232574463,0.8508771657943726,0.3139435648918152
21,0.8595505356788635,0.354899525642395,0.859649121761322,0.29430776834487915
22,0.8539325594902039,0.37592658400535583,0.9298245906829834,0.2036338746547699
23,0.8726591467857361,0.3441305458545685,0.7982456088066101,0.349187433719635
24,0.8764045238494873,0.33697834610939026,0.9210526347160339,0.21480850875377655
25,0.8782771825790405,0.3106840252876282,0.9210526347160339,0.21818692982196808
26,0.898876428604126,0.2975265383720398,0.8947368264198303,0.18702812492847443
27,0.8932584524154663,0.26133275032043457,0.9298245906829834,0.1432236135005951
28,0.9213483333587646,0.2109624147415161,0.9385964870452881,0.14929282665252686
29,0.9438202381134033,0.19970980286598206,0.9736841917037964,0.13058729469776154
30,0.9138576984405518,0.21055877208709717,0.9473684430122375,0.13510355353355408
31,0.9250936508178711,0.2169104665517807,0.9473684430122375,0.11700130999088287
32,0.9382022619247437,0.1735164225101471,0.9385964870452881,0.12097001075744629
33,0.9213483333587646,0.22482892870903015,0.9649122953414917,0.1387026607990265
34,0.9250936508178711,0.22676634788513184,0.9298245906829834,0.18510523438453674
35,0.9269663095474243,0.21473850309848785,0.9649122953414917,0.09967655688524246
36,0.9363296031951904,0.17056027054786682,0.9649122953414917,0.12413982301950455
37,0.9232209920883179,0.2083800584077835,0.9561403393745422,0.09907161444425583
38,0.9344569444656372,0.1768919825553894,0.9649122953414917,0.09044362604618073
39,0.9569288492202759,0.1474352478981018,0.9736841917037964,0.08272616565227509
40,0.9438202381134033,0.15789982676506042,0.9561403393745422,0.08727379888296127
41,0.949438214302063,0.1395214945077896,0.9649122953414917,0.08806588500738144
